name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
Jordan Henderson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y*,"CM,DM",90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,16.0,5.0,31.3,4.0,9.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,
Jordan Henderson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y*,CM,90.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,36.0,10.0,27.8,4.0,26.0,6.0,2.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,
Jordan Henderson,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y*,DM,90.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,18.0,5.0,27.8,4.0,12.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Jordan Henderson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y*,DM,90.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,14.0,8.0,57.1,5.0,9.0,0.0,2.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,
Jordan Henderson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y*,DM,90.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,100.0,0.0,16.0,1.0,6.3,4.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,
Jordan Henderson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y*,CM,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,9.0,5.0,55.6,4.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,
Jordan Henderson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,N,CM,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Jordan Henderson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y*,CM,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,4.0,40.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
Jordan Henderson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y*,CM,82.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,5.0,31.3,3.0,8.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Diogo Jota,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,FW,60.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,14.0,5.0,35.7,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Diogo Jota,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,FW,80.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,16.0,2.0,12.5,5.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,
Diogo Jota,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,N,FW,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,42.9,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Diogo Jota,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,FW,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,6.0,19.4,4.0,6.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Diogo Jota,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,FW,75.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,17.0,5.0,29.4,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,
Diogo Jota,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"FW,RM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,2.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Diogo Jota,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,FW,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,3.0,11.5,3.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Diogo Jota,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Diogo Jota,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,LW,90.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,25.0,8.0,32.0,1.0,17.0,7.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,
