name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Lucas Moura,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,RW,90.0,58.0,0.0,2.0,39.0,25.0,1.0,58.0,1.0,2.0,50.0,1.0,0.0,47.0,286.0,172.0,17.0,7.0,0.0,2.0,3.0,55.0,51.0,92.7,2.0,
Lucas Moura,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,RW,88.0,63.0,3.0,8.0,44.0,15.0,1.0,62.0,2.0,4.0,50.0,2.0,0.0,34.0,144.0,89.0,4.0,2.0,0.0,3.0,3.0,61.0,47.0,77.0,1.0,
Lucas Moura,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,RW,90.0,61.0,0.0,10.0,40.0,21.0,5.0,60.0,5.0,5.0,100.0,5.0,0.0,47.0,278.0,172.0,8.0,2.0,1.0,2.0,1.0,53.0,45.0,84.9,6.0,
Lucas Moura,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,RW,89.0,59.0,0.0,5.0,36.0,25.0,1.0,58.0,2.0,4.0,50.0,3.0,0.0,50.0,247.0,131.0,11.0,4.0,0.0,4.0,5.0,52.0,45.0,86.5,4.0,
Lucas Moura,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,RW,53.0,36.0,2.0,7.0,18.0,14.0,0.0,36.0,4.0,7.0,57.1,4.0,0.0,31.0,143.0,70.0,5.0,1.0,0.0,1.0,0.0,34.0,27.0,79.4,2.0,
Lucas Moura,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,AM,70.0,49.0,2.0,4.0,28.0,19.0,2.0,49.0,1.0,1.0,100.0,1.0,0.0,35.0,117.0,52.0,4.0,0.0,2.0,4.0,1.0,44.0,39.0,88.6,6.0,
Lucas Moura,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,RW,87.0,54.0,0.0,5.0,41.0,14.0,3.0,53.0,2.0,3.0,66.7,2.0,0.0,41.0,288.0,166.0,9.0,5.0,1.0,7.0,2.0,40.0,33.0,82.5,7.0,
Oliver Skipp,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,DM,90.0,36.0,6.0,16.0,21.0,0.0,0.0,36.0,0.0,0.0,,0.0,0.0,17.0,66.0,5.0,0.0,0.0,0.0,0.0,1.0,20.0,19.0,95.0,0.0,
Oliver Skipp,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,DM,90.0,52.0,3.0,17.0,35.0,1.0,0.0,52.0,0.0,0.0,,0.0,0.0,26.0,73.0,16.0,0.0,0.0,0.0,1.0,0.0,35.0,35.0,100.0,0.0,
Oliver Skipp,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,DM,90.0,76.0,0.0,6.0,58.0,14.0,1.0,76.0,0.0,0.0,,0.0,0.0,59.0,280.0,153.0,11.0,2.0,1.0,0.0,0.0,58.0,57.0,98.3,1.0,
Oliver Skipp,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,DM,90.0,40.0,2.0,9.0,31.0,1.0,0.0,37.0,1.0,1.0,100.0,1.0,0.0,24.0,113.0,64.0,3.0,0.0,0.0,0.0,0.0,27.0,24.0,88.9,0.0,
Oliver Skipp,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,N,DM,29.0,22.0,2.0,8.0,13.0,2.0,0.0,21.0,0.0,0.0,,0.0,0.0,14.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,93.3,0.0,
Oliver Skipp,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,N,DM,45.0,38.0,0.0,6.0,30.0,4.0,0.0,38.0,0.0,0.0,,0.0,0.0,27.0,128.0,56.0,4.0,2.0,0.0,0.0,0.0,26.0,25.0,96.2,1.0,
